id,Question,Answer,inkludera_i_pdf
1,"Vilken 90-talssitcom har karaktärerna Ross, Rachel och Chandler?",Vänner,ja
2,Vilken TV-serie handlar om fyra vänner som bor i New York och ofta ses på ett café?,Seinfeld,ja
3,Vilken TV-serie handlar om en tonårspojke som bor med sina farbröder i San Francisco?,Huset fullt,ja
4,"Vilken TV-serie utspelar sig på en skola i Kalifornien och har karaktärerna Zack, Kelly och Screech?",På spaning med Bridget Jones,ja
5,Vem spelar huvudrollen som agent Fox Mulder i 'Arkiv X'?,David Duchovny,ja
6,Vilket år hade första avsnittet av 'Buffy och vampyrerna' premiär?,1997,ja
7,Vilken TV-serie handlar om en vampyr som kämpar för att skydda Los Angeles från övernaturliga hot?,Angel,ja
8,Vilken TV-serie följer livet för fyra kvinnor i New York och deras relationer?,Sex and the City,ja
9,Vad heter karaktären som spelas av Sarah Michelle Gellar i TV-serien 'Buffy och vampyrerna'?,Buffy Summers,ja
10,Vilken TV-serie följer livet för en grupp unga vuxna som bor i Beverly Hills?,Beverly Hills 90210,ja
11,"Vilken TV-serie har karaktärerna Will, Grace, Jack och Karen?",Will & Grace,ja
12,Vilken TV-serie handlar om en tonårsflicka som bor med sina tre fastrar och en katt?,Sabrina tonårshäxan,ja
13,Vilken TV-serie följer livet för en familj som bor på en ranch i Colorado?,Dr Quinn,ja
14,Vilken TV-serie handlar om en vetenskapsman som hoppar genom tiden för att rätta till misstag i historien?,Quantum Leap,ja
15,Vilken TV-serie utspelar sig på en karibisk ö och handlar om en man som driver ett flygplanstaxi-företag?,Vingar,ja
16,Vilken TV-serie följer livet för en advokatfirma i Boston?,Ally McBeal,ja
17,Vilken TV-serie följer livet för en grupp ungdomar som bor i en liten stad i Massachusetts?,Dawson's Creek,ja
18,Vilken TV-serie handlar om en grupp unga människor som arbetar på en reklamfirma i Chicago?,Felicity,ja
19,Vilken TV-serie handlar om en veterinär som flyttar till en liten stad i Colorado?,Dr Quinn,ja
20,Vilken TV-serie handlar om en man som driver ett hotell på en ö utanför Miami?,Hotellet,ja
21,Vilken TV-serie följer livet för en grupp vänner som bor i en förort till Los Angeles?,Melrose Place,ja
22,Vilken TV-serie handlar om en familj som bor på en gård i Minnesota?,Lilla huset på prärien,ja
23,Vilken TV-serie handlar om en grupp ungdomar som bor i en liten stad i Georgia?,Dawson's Creek,ja
24,Vilken TV-serie handlar om en grupp unga människor som arbetar på en reklambyrå i Chicago?,Felicity,ja
25,Vilken TV-serie handlar om en grupp ungdomar som bor i en liten stad i Massachusetts?,Dawson's Creek,ja
26,Vilken TV-serie handlar om en veterinär som flyttar till en liten stad i Colorado?,Dr Quinn,ja
27,Vilken TV-serie handlar om en man som driver ett hotell på en ö utanför Miami?,Hotellet,ja
28,Vilken TV-serie följer livet för en grupp vänner som bor i en förort till Los Angeles?,Melrose Place,ja
29,Vilken TV-serie handlar om en familj som bor på en gård i Minnesota?,Lilla huset på prärien,ja
30,Vilken TV-serie handlar om en grupp ungdomar som bor i en liten stad i Georgia?,Dawson's Creek,ja
31,Vilken TV-serie handlar om en grupp unga människor som arbetar på en reklambyrå i Chicago?,Felicity,ja
32,Vilken TV-serie handlar om en grupp ungdomar som bor i en liten stad i Massachusetts?,Dawson's Creek,ja
33,Vilken TV-serie handlar om en veterinär som flyttar till en liten stad i Colorado?,Dr Quinn,ja
34,Vilken TV-serie handlar om en man som driver ett hotell på en ö utanför Miami?,Hotellet,ja
